Name,RegisterNumber,Department,UserType,InTime,OutTime,Semester,BookName,BookTakenDate,BookReturnDate,BookAuthor,BookID,BookShelf,BookCategory,BalanceBookAvailability
User0001,REG745251,MBA,Teacher,17:42,15:05,VI,Animal Farm,12-07-2023,21-07-2023,George Orwell,BID1954,Shelf-6,General,1
User0002,REG814768,IT,Teacher,08:21,11:17,VII,Great Expectations,24-10-2024,12-11-2024,Charles Dickens,BID1934,Shelf-20,Science,3
User0003,REG674156,IT,Student,08:36,13:03,VI,The Hobbit,09-08-2024,18-08-2024,J.R.R. Tolkien,BID2039,Shelf-6,Science,6
User0004,REG637876,ECE,Student,09:46,12:27,VII,The Hobbit,28-02-2023,13-03-2023,J.R.R. Tolkien,BID8737,Shelf-13,Reference,6
User0005,REG619226,ECE,Student,12:20,14:08,VI,The Catcher in the Rye,04-11-2023,18-11-2023,J.D. Salinger,BID2121,Shelf-20,Comics,9
User0006,REG479766,EEE,Student,17:52,16:52,V,Pride and Prejudice,20-03-2023,31-03-2023,Jane Austen,BID3136,Shelf-11,Technology,3
User0007,REG477820,IT,Student,14:05,17:21,IV,The Hobbit,26-06-2023,16-07-2023,J.R.R. Tolkien,BID8220,Shelf-13,Technology,5
User0008,REG571796,CSE,Student,12:55,16:42,VIII,Moby-Dick,27-06-2024,04-07-2024,Herman Melville,BID2907,Shelf-5,Reference,6
User0009,REG724546,IT,Student,09:25,09:46,IV,Pride and Prejudice,27-11-2024,12-12-2024,Jane Austen,BID6691,Shelf-13,General,0
User0010,REG753909,EEE,Student,17:24,12:30,VIII,Animal Farm,08-10-2023,18-10-2023,George Orwell,BID6674,Shelf-7,Fiction,6
User0011,REG584072,CIVIL,Teacher,14:03,10:15,III,The Alchemist,24-06-2023,13-07-2023,Paulo Coelho,BID8482,Shelf-19,Comics,3
User0012,REG498111,CSE,Student,14:41,15:24,VI,Treasure Island,08-01-2024,15-01-2024,Robert Louis Stevenson,BID5521,Shelf-12,Reference,6
User0013,REG248363,AI&DS,Student,15:02,17:25,VI,The Catcher in the Rye,31-07-2024,01-08-2024,J.D. Salinger,BID7611,Shelf-7,Fiction,0
User0014,REG963683,CIVIL,Student,08:45,08:24,VI,Great Expectations,30-01-2023,08-02-2023,Charles Dickens,BID4133,Shelf-3,Comics,10
User0015,REG825672,EEE,Student,10:53,15:59,V,Alice's Adventures in Wonderland,11-10-2023,30-10-2023,Lewis Carroll,BID6049,Shelf-4,History,0
User0016,REG296633,EEE,Teacher,12:33,16:10,V,To Kill a Mockingbird,08-05-2023,17-05-2023,Harper Lee,BID3397,Shelf-10,Technology,2
User0017,REG644545,AI&DS,Teacher,08:12,09:43,IV,The Adventures of Tom Sawyer,21-01-2024,29-01-2024,Mark Twain,BID1530,Shelf-1,Reference,7
User0018,REG574046,MECH,Student,15:58,08:35,VII,Moby-Dick,07-10-2023,25-10-2023,Herman Melville,BID1632,Shelf-5,Technology,5
User0019,REG938096,CIVIL,Student,14:18,16:40,VIII,Great Expectations,20-10-2023,05-11-2023,Charles Dickens,BID9884,Shelf-18,Technology,9
User0020,REG454784,MECH,Teacher,12:52,08:13,IV,Great Expectations,22-09-2023,29-09-2023,Charles Dickens,BID4958,Shelf-18,Fiction,0
User0021,REG488911,EEE,Teacher,16:35,11:17,III,The Catcher in the Rye,16-04-2024,24-04-2024,J.D. Salinger,BID6947,Shelf-14,Reference,0
User0022,REG422669,CIVIL,Student,15:35,16:59,VII,1984,05-03-2024,10-03-2024,George Orwell,BID6461,Shelf-2,Education,2
User0023,REG508983,MBA,Teacher,12:56,11:06,VI,Moby-Dick,31-10-2024,18-11-2024,Herman Melville,BID3181,Shelf-13,Education,9
User0024,REG727339,CSE,Teacher,08:01,15:46,II,Animal Farm,22-02-2023,27-02-2023,George Orwell,BID1510,Shelf-15,Education,8
User0025,REG847268,MECH,Teacher,17:46,15:57,V,The Hobbit,07-11-2023,08-11-2023,J.R.R. Tolkien,BID5733,Shelf-4,History,2
User0026,REG344274,CIVIL,Teacher,14:21,15:32,V,Animal Farm,12-10-2023,30-10-2023,George Orwell,BID6070,Shelf-6,Education,2
User0027,REG949095,ECE,Teacher,16:04,17:40,II,The Alchemist,09-11-2023,17-11-2023,Paulo Coelho,BID3317,Shelf-1,Fiction,8
User0028,REG396321,MECH,Student,16:58,14:48,IV,Pride and Prejudice,06-01-2023,22-01-2023,Jane Austen,BID1089,Shelf-8,Fiction,7
User0029,REG320715,IT,Student,16:49,12:26,VII,Moby-Dick,05-01-2023,08-01-2023,Herman Melville,BID9938,Shelf-19,Technology,4
User0030,REG244752,MBA,Teacher,08:32,12:25,III,1984,01-06-2024,20-06-2024,George Orwell,BID8447,Shelf-15,Comics,4
User0031,REG850051,CIVIL,Student,13:39,08:53,VI,The Lord of the Rings,10-01-2023,,J.R.R. Tolkien,BID4388,Shelf-1,Reference,2
User0032,REG542703,CIVIL,Student,13:24,10:49,IV,Pride and Prejudice,22-03-2023,10-04-2023,Jane Austen,BID2191,Shelf-4,Reference,8
User0033,REG923689,MECH,Student,16:20,12:00,III,Brave New World,15-05-2024,03-06-2024,Aldous Huxley,BID8024,Shelf-2,Science,2
User0034,REG771870,ECE,Teacher,13:13,11:26,VI,Brave New World,21-10-2024,26-10-2024,Aldous Huxley,BID4914,Shelf-9,Science,8
User0035,REG665394,ECE,Student,15:48,11:23,IV,Moby-Dick,23-02-2024,,Herman Melville,BID8540,Shelf-18,History,9
User0036,REG539010,CIVIL,Teacher,09:15,09:23,VIII,The Adventures of Tom Sawyer,21-09-2024,11-10-2024,Mark Twain,BID9287,Shelf-3,Science,6
User0037,REG540743,MBA,Teacher,12:17,12:45,III,Animal Farm,04-12-2024,22-12-2024,George Orwell,BID3926,Shelf-5,Reference,0
User0038,REG180229,CIVIL,Student,15:08,15:45,I,The Hobbit,30-06-2023,03-07-2023,J.R.R. Tolkien,BID1160,Shelf-11,Science,1
User0039,REG392551,AI&DS,Teacher,12:58,15:35,III,Pride and Prejudice,03-04-2024,20-04-2024,Jane Austen,BID8994,Shelf-3,Science,5
User0040,REG658733,MBA,Teacher,14:04,11:24,IV,Great Expectations,01-07-2024,,Charles Dickens,BID7897,Shelf-20,General,9
User0041,REG811312,MBA,Student,09:54,09:09,IV,The Adventures of Tom Sawyer,12-10-2023,19-10-2023,Mark Twain,BID4217,Shelf-8,Comics,1
User0042,REG485966,CSE,Student,10:35,16:52,VI,1984,20-05-2024,27-05-2024,George Orwell,BID5459,Shelf-10,Education,7
User0043,REG972501,IT,Teacher,15:13,14:44,I,The Lord of the Rings,03-05-2023,20-05-2023,J.R.R. Tolkien,BID8383,Shelf-6,Fiction,2
User0044,REG658411,MECH,Teacher,16:19,11:19,V,Animal Farm,15-08-2023,18-08-2023,George Orwell,BID7726,Shelf-20,General,0
User0045,REG332100,MECH,Student,12:49,17:03,V,Brave New World,08-08-2023,,Aldous Huxley,BID5746,Shelf-15,General,8
User0046,REG509147,CSE,Student,08:46,10:54,IV,The Alchemist,30-06-2023,06-07-2023,Paulo Coelho,BID4362,Shelf-7,History,9
User0047,REG385077,ECE,Teacher,08:10,13:07,VIII,Great Expectations,15-02-2023,24-02-2023,Charles Dickens,BID8967,Shelf-5,General,5
User0048,REG943551,MECH,Teacher,09:02,12:41,I,1984,10-05-2023,11-05-2023,George Orwell,BID2440,Shelf-2,Education,6
User0049,REG812880,EEE,Student,16:20,16:39,I,To Kill a Mockingbird,23-09-2024,07-10-2024,Harper Lee,BID6067,Shelf-5,Technology,4
User0050,REG919284,AI&DS,Student,11:48,13:03,II,Moby-Dick,29-05-2024,14-06-2024,Herman Melville,BID1663,Shelf-9,Comics,4
User0051,REG257289,IT,Student,17:07,10:29,IV,Alice's Adventures in Wonderland,30-08-2024,16-09-2024,Lewis Carroll,BID2288,Shelf-6,Comics,0
User0052,REG762131,CIVIL,Student,16:47,10:18,IV,The Lord of the Rings,18-07-2024,21-07-2024,J.R.R. Tolkien,BID7603,Shelf-3,Education,8
User0053,REG970708,CIVIL,Student,11:02,15:03,III,The Catcher in the Rye,27-03-2024,07-04-2024,J.D. Salinger,BID4002,Shelf-17,History,6
User0054,REG134812,CSE,Teacher,11:03,09:51,III,The Alchemist,21-01-2024,22-01-2024,Paulo Coelho,BID1164,Shelf-3,Comics,9
User0055,REG511169,CIVIL,Student,13:31,10:12,II,The Catcher in the Rye,19-02-2024,21-02-2024,J.D. Salinger,BID8968,Shelf-20,Fiction,3
User0056,REG607482,CSE,Teacher,14:08,15:40,VIII,War and Peace,14-08-2024,25-08-2024,Leo Tolstoy,BID8528,Shelf-17,Fiction,0
User0057,REG164369,MECH,Teacher,16:27,16:21,VIII,The Hobbit,21-10-2023,10-11-2023,J.R.R. Tolkien,BID8405,Shelf-20,General,8
